30 125
-23 -29 -6
8 17 19
-25 7 -8
23 25 -19
26 2 6
29 30 -21
26 18 8
10 -17 11
-30 29 29
1 -25 13
-9 11 -26
-22 -6 -28
-2 -21 7
27 24 -26
24 -9 -14
24 25 19
-22 -1 -15
2 30 -18
27 16 -3
-12 8 26
4 15 1
-1 11 4
-10 -22 28
5 15 1
-6 28 28
-11 -30 -4
-25 -16 5
-6 -26 12
9 24 7
10 1 -15
-12 26 29
18 18 15
-29 -29 -16
28 -9 24
-16 16 -18
27 -16 28
6 -12 -30
10 -15 -20
-3 24 3
-22 -2 -22
17 -1 -23
16 -22 -1
-30 -13 -3
19 5 9
7 -18 16
29 28 -21
-10 29 8
-4 5 -9
-20 25 -26
18 1 -21
6 20 22
3 27 6
6 7 17
-25 -21 -7
20 8 -5
2 -3 -12
-14 -25 14
-6 -28 14
-29 -13 -28
10 -13 -27
-1 -14 -7
-23 15 -13
-3 -20 -18
13 -7 -5
7 7 -27
25 28 -26
27 -19 -3
18 -1 4
12 23 13
18 -3 18
13 12 -9
7 1 -23
27 12 1
23 9 -24
12 2 -14
21 -8 15
20 -15 24
-28 -3 -25
4 4 9
9 -22 2
-11 5 -23
-19 10 -26
-5 -7 11
-10 -8 -15
-22 5 -29
7 -1 -24
-11 -5 2
-25 -2 -2
18 16 11
11 9 7
-7 19 -16
5 -22 -18
-1 -26 11
25 22 28
27 17 -29
-5 -4 14
30 -6 -20
4 -17 9
-18 13 -15
-24 23 27
-13 -13 7
-30 -24 -3
29 -23 29
-27 6 -30
-19 17 3
-12 -23 -8
30 29 -3
24 -22 8
-12 -29 -9
17 -21 -5
8 25 24
2 -19 22
-29 -30 13
9 -20 -19
8 23 8
3 -10 23
-8 -6 -6
15 2 23
-9 9 -30
-24 19 22
30 -14 17
-20 -2 -24
-24 -2 -29
1 -18 -21
-13 29 8
