27 125
2 25 7
-7 -23 9
-24 7 19
17 7 8
14 18 4
15 18 17
-8 -25 8
-10 21 -10
9 10 -1
-25 -23 2
-5 14 15
22 25 5
-8 -3 12
7 -14 19
-21 8 -8
-22 4 -3
-2 -4 -12
-16 8 -27
-16 14 -15
-11 -9 -8
-22 -16 -18
15 11 -5
-14 24 16
-3 11 23
9 -21 9
-26 6 10
-21 -13 -24
-10 -6 8
24 27 -17
-12 15 14
-23 14 4
9 7 9
14 -22 -10
-3 6 -4
-17 3 22
25 26 2
-25 25 22
-1 -12 7
1 -4 3
-22 12 9
-9 23 -11
14 21 22
-1 4 20
6 4 -6
2 20 -26
-27 6 -7
-20 6 -5
13 27 10
11 -27 -18
27 -16 -16
-3 -19 20
-17 -18 -8
-21 -7 19
-6 -23 -24
-19 18 22
25 7 11
-4 -27 -21
-11 -12 27
-15 20 -22
23 18 -15
8 -19 -3
-21 4 17
26 19 21
-23 7 4
-9 -4 4
5 10 12
27 2 14
3 1 -7
-15 9 -8
-9 2 -21
-13 -13 17
10 -17 25
11 -23 20
1 16 -21
7 5 -22
-24 -7 12
-25 -27 26
6 -20 9
-11 -4 -18
-14 -24 8
-24 -19 13
-23 -9 8
-1 21 17
-12 7 12
-15 -14 26
8 -14 25
13 -25 -13
15 -1 -24
13 3 18
18 6 -20
10 21 -14
-21 15 9
-10 15 -10
-23 -9 -2
10 -13 -25
-9 1 14
-24 -24 21
26 14 -15
4 13 -20
13 22 23
10 11 13
-25 24 -9
16 -1 -14
4 -3 -13
2 -23 -13
5 7 9
2 8 6
-9 22 -11
22 -4 -8
19 -13 -11
20 -13 13
-23 -6 13
19 -4 -22
21 11 -3
13 -17 -9
-4 3 -17
5 16 19
-10 10 -20
-19 21 -14
-13 -6 -23
7 -18 -6
-16 2 -17
-7 18 -14
-25 6 19
-18 6 11
