28 125
4 14 -1
-24 2 -8
-26 -7 -16
-20 -5 13
-20 -12 19
12 -22 19
8 28 -21
12 26 5
-22 -16 10
25 -28 10
23 -13 -20
-5 -8 -3
-19 -6 -4
23 -24 8
14 10 1
20 -24 14
27 14 -2
11 24 15
-14 13 23
9 14 7
-5 -15 -21
-12 -10 12
16 20 20
12 -1 5
-18 15 -18
23 7 -24
-15 23 7
9 -18 14
-14 2 -9
13 1 -2
19 -7 26
-2 3 12
18 14 -21
-26 -23 -18
-15 18 -3
-11 8 8
15 10 19
4 9 -23
5 -9 -13
12 -13 17
-20 -25 -26
-3 -27 12
13 -16 15
-23 9 -10
-8 -13 -27
-3 22 -2
16 -25 -17
-23 12 -15
-13 -11 11
-3 -26 24
18 4 10
-2 -25 8
6 -8 -9
-20 5 -19
10 -27 26
-25 -17 24
-25 15 -7
25 18 4
-25 19 8
10 -17 -17
-28 -14 -21
3 13 -12
6 20 23
6 16 -20
-20 -22 25
17 -11 -23
-15 19 27
28 -9 -21
-20 -10 -3
-11 -25 -13
-19 18 13
-3 -18 1
10 10 23
-8 -28 -3
14 21 19
8 -25 10
3 -6 -28
-15 1 -6
11 -20 -20
12 -28 -4
12 26 -17
-21 -11 8
-1 -4 -21
8 10 -24
14 -17 -24
-19 16 7
-24 18 -3
18 -4 9
28 2 10
-12 22 -8
-18 -18 2
9 14 8
22 -10 24
24 -9 3
-9 -23 1
12 7 -12
-17 13 -13
-28 18 -24
16 -15 1
-26 3 -8
18 -20 -14
1 5 -11
28 -9 17
-23 17 -28
-6 -12 -18
-11 -3 -11
-24 21 -12
27 -3 15
-6 -19 12
-28 -18 -14
-13 5 -2
7 23 -16
-27 -6 -8
2 19 7
-18 9 21
-22 -3 -10
24 -9 -2
-8 -16 11
28 -11 -15
-12 -14 8
20 11 3
12 -26 8
1 -18 5
10 26 -13
26 -26 -24
