31 125
11 31 -20
-4 -8 8
21 28 31
-27 22 -27
16 -23 -28
-19 15 16
-22 -7 14
20 -10 6
-11 4 5
15 23 26
-1 -18 -8
-29 -17 12
22 7 -13
-17 -19 -21
-9 -20 22
-3 -26 7
27 -3 -19
-24 -5 8
3 -23 19
23 10 -3
-15 -5 28
9 -2 -21
-6 -28 19
-20 -31 1
13 -31 -4
-18 22 -6
29 29 -2
-12 28 25
-5 26 -18
11 -29 -16
-25 -21 -11
-13 -16 16
-25 23 -31
-15 -7 16
12 -9 10
-7 -7 7
9 -30 -16
-15 -6 -2
22 -12 -10
22 -11 11
-25 -1 -17
-31 17 13
-4 -22 -28
10 11 -17
2 -14 -18
-24 25 -30
-31 -29 -23
9 28 3
28 -18 -17
-6 24 14
2 15 -8
-21 -10 -16
-9 9 29
30 25 9
3 18 -24
-18 26 25
15 -30 24
25 24 -21
7 18 -18
-13 20 22
1 -7 7
-31 -23 -12
-11 -22 25
13 -1 -19
-12 -21 -12
6 21 21
-10 23 18
-9 -25 -29
17 18 -9
-7 10 25
-6 5 24
6 -26 16
-3 -18 30
-18 -15 5
-28 -30 22
20 -11 -13
-9 -21 29
-19 31 21
16 -24 -22
-7 -28 -17
-13 17 -15
14 5 -11
-26 29 -29
27 15 -5
10 24 11
-11 14 21
-4 -6 -11
19 23 30
-22 -31 -6
-6 23 -15
-13 -6 -12
-13 21 27
-13 6 27
20 27 -29
-7 -19 31
29 -27 -10
27 -7 2
-12 -1 23
-24 15 3
-10 31 29
-16 14 20
-16 -21 -5
14 -27 -3
-9 31 -18
-15 26 8
22 31 -31
-4 5 -17
-22 -26 15
17 -15 24
28 -11 6
-12 28 28
5 19 -31
26 17 -14
-4 18 -25
11 -11 -14
29 -24 23
2 29 -23
-29 -15 -25
22 29 22
-22 13 19
20 12 -8
-6 -21 9
-18 -9 28
6 -5 -13
19 9 15
